Script,Last Status,Runs,Fails,First Run,Last Run,Avg Time(Success)
Special Activities,Success,4,0,2016-07-25 18:45:07 +0530,2016-07-27 14:14:49 +0530,0:00:52
GSX Experience,Success,4,0,2016-07-26 10:01:52 +0530,2016-07-27 17:42:18 +0530,0:01:20
Validating adding Sessions,Success,7,5,2016-07-26 11:33:29 +0530,2016-07-27 17:46:32 +0530,0:01:10
Schedule,Success,4,0,2016-07-25 16:28:16 +0530,2016-07-27 14:04:10 +0530,0:00:41
Getting Around,Success,4,0,2016-07-26 09:59:35 +0530,2016-07-27 17:40:19 +0530,0:01:13
Wellness,Failure,3,2,2016-07-26 10:37:08 +0530,2016-07-27 14:39:20 +0530,0:01:16
Maps,Failure,2,2,2016-07-26 10:04:40 +0530,2016-07-27 12:34:33 +0530,0:00:00
Overview,Success,4,0,2016-07-25 16:29:22 +0530,2016-07-27 13:08:57 +0530,0:00:38
My Notification,Success,4,1,2016-07-25 16:42:33 +0530,2016-07-27 13:05:56 +0530,0:00:46
FAQ,Success,5,0,2016-07-25 18:43:19 +0530,2016-07-27 17:36:59 +0530,0:01:26
Social,Success,4,0,2016-07-26 10:28:26 +0530,2016-07-27 14:11:39 +0530,0:00:50
Activities List,Success,6,1,2016-07-25 16:50:07 +0530,2016-07-27 16:52:35 +0530,0:00:59
Conversations,Success,4,0,2016-07-26 09:53:40 +0530,2016-07-27 17:31:00 +0530,0:01:11
Week at-a-Glance,Success,7,3,2016-07-22 15:54:03 +0530,2016-07-27 14:38:16 +0530,0:00:28
Filters_Category,Success,3,0,2016-07-26 14:38:48 +0530,2016-07-26 15:33:02 +0530,0:00:59
Login,Failure,1,1,2016-07-27 14:24:48 +0530,2016-07-27 14:24:48 +0530,0:00:00
My Surveys,Success,4,0,2016-07-25 16:38:48 +0530,2016-07-27 13:07:58 +0530,0:00:41
Speakers,Success,5,1,2016-07-25 16:17:40 +0530,2016-07-27 14:13:45 +0530,0:00:41
Experiment,Success,3,0,2016-07-26 16:04:10 +0530,2016-07-26 16:32:57 +0530,0:03:36
Dev Net,Success,5,0,2016-07-25 16:53:16 +0530,2016-07-27 17:33:13 +0530,0:01:14
Arrival,Success,4,0,2016-07-26 09:48:25 +0530,2016-07-27 17:24:40 +0530,0:01:18
My Agenda,Success,4,0,2016-07-26 10:10:18 +0530,2016-07-27 13:04:49 +0530,0:00:41
My Recommendations,Success,4,0,2016-07-25 16:36:22 +0530,2016-07-27 13:06:59 +0530,0:00:42
About this app,Success,13,3,2016-07-25 12:41:26 +0530,2016-07-27 16:31:48 +0530,0:01:23
Attendees,Success,4,0,2016-07-26 09:51:44 +0530,2016-07-27 17:28:03 +0530,0:01:16
Validating adding speakers,Success,7,2,2016-07-26 10:57:49 +0530,2016-07-27 17:49:14 +0530,0:01:13
Search,Success,3,0,2016-07-26 12:50:03 +0530,2016-07-27 14:05:24 +0530,0:00:42
